input_text	target_text
Kobe Bryant es mi favorito jugador de NBA	Kobe Bryant es mi jugador de NBA favorito
El es uno de los mejores jugadores de todos los tiempos	Él es uno de los mejores jugadores de todos los tiempos
El jugó 20 años en NBA todos para Los Angeles Lakers	Él jugó 20 años en NBA todos para Los Angeles Lakers
Kobe tiene 5 campeonatos y un MVP pero debe de más	Kobe tiene 5 campeonatos y un MVP pero debe de tener más
Kobe siempre comparó con Michael Jordan pero pienso ellos son iguales porque sus juegos son mucho iguales	Kobe siempre se comparó con Michael Jordan pero pienso que ellos son iguales porque sus estilos de jugar son iguales
Kobe copió los acciónes de Michael Jordan pero el hizo bueno	Kobe copió las acciones de Michael Jordan pero él las hizo mejor
Kobe es mi favorito jugador de NBA porque Los Angeles Lakers es el equipo primero miré	Kobe es mi jugador de NBA favorito porque Los Angeles Lakers es el equipo que miré por primera vez
Este esta en 2006 cuando tiene 10 años	Esto fue en 2006 cuando tenía 10 años
Me gusta cómo gáno los juegos con su juego	Me gusta cómo ganó los partidos con su estilo
Su personalidad es muy serioso y intimidante	Su personalidad es muy seria e intimidante
Su compañeros de equipo están asustados cuando Kobe está muy serioso	Sus compañeros de equipo están asustados cuando Kobe está muy serio
Kobe es muy serioso porque siempre quieré que ganarse	Kobe es muy serio porque siempre quiere ganar
Tambien la esposa de Kobe es muy bonita y tambien sus hijas	También la esposa de Kobe es muy bonita y también sus hijas son bonitas
La esposa de Kobe se llama Vanessa	La esposa de Kobe se llama Vanessa
Kobe y shaquille o'neal son buenos ami	Kobe y shaquille o'neal son buenos amigos.
Selena Quintanilla, una cantante muy famosa es reconocida por la manera que ella se conecto con la gente ósea sus fans a través de todo el mundo	Selena Quintanilla, una cantante muy famosa, es reconocida por la manera en que ella se conectó con la gente, o sea sus fans, por todo el mundo
Lo que me fascino de Selena era que ella era humilde y no se creía más de los demás	Lo que me fascinó de Selena era que ella era humilde y no se creía mejor que los demás
Siempre se recordaba de sus raíces y representaba a muchos de los Latinoamericanos en los Estados Unidos	Siempre recordaba sus raíces y representaba a muchos de los Latinoamericanos en los Estados Unidos
Claramente, Selena iba ser muy grande en los ojos de los Latinos y Americanos porque estaba a ponto de componer canciones en inglés	Claramente, Selena iba a ser muy grande en los ojos de los Latinos y americanos porque estaba a punto de componer canciones en inglés
Selena era una de las pocas artistas que iba a cantar sus canciones en inglés y español	Selena era una de las pocas artistas que iba a cantar sus canciones en inglés y español
Muchos la recuerdan como una artista tan sencilla pero muy movedora	Muchos la recuerdan como una artista tan sencilla pero muy conmovedora
Uno podía sentir su pasión, su emoción, y su amor en cada uno de sus canciones	Uno podía sentir su pasión, su emoción, y su amor en cada una de sus canciones
Nunca voy a olvidar una entrevista que le hicieron a Selena a cerca de su nuevo línea de perfume porque su respuesta era gracioso y relacionable para muchos de los Chicanos en los Estados Unidos	Nunca voy a olvidar una entrevista que le hicieron a Selena acerca de su nueva línea de perfume porque su respuesta era graciosa y relevante para muchos de los Chicanos en los Estados Unidos
Al fin, su respuesta era que el perfume iba oler a “chorizo con huevo.” Personalmente como mexicana me dio mucho gusto que ella diera esa respuesta porque demuestra el tipo de personalidad que ella tuvo y como ella pudo representar a la minoría	Al fin, su respuesta era que el perfume iba a oler a “chorizo con huevo.” Personalmente como mexicana me dio mucho gusto que ella diera esa respuesta porque demuestra el tipo de personalidad que ella tuvo y cómo ella pudo representar a la minoría
Ella siendo famoso nos dio una voz para los latinos y fue capaz de representarnos en los medios sociales donde aun no somos bien representados	Ella, siendo famoso, nos dio una voz a los latinos y fue capaz de representarnos en los medios sociales donde aún no somos bien representados
Hoy en día es increíble ver cómo seguimos manteniendo vivo su nombre, sus canciones y su forma de ser.	Hoy en día es increíble ver cómo seguimos manteniendo vivo su nombre, sus canciones y su forma de ser.
Rihanna es cantante y actriz y artista	Rihanna es cantante, actriz, y artista
Su nombre es Robyn	Su nombre es Robyn
Su apellido es Fenty	Su apellido es Fenty
Su amiga la presenta a un productor	Su amiga la presentó a un productor
Se hace famosa cuando tiene 16 años	Se hizo famosa cuando tenía 16 años
Ahora tiene 28 años	Ahora tiene 28 años
Su cumpleaños es el 20 de febrero de 1988	Su cumpleaños es el 20 de febrero de 1988
su nacionalidad es América	Es estadounidense
El nombre de su madre es Monica	El nombre de su madre es Monica
Ella es contadora	Ella es contadora
El nombre de su padre es Ronald	El nombre de su padre es Ronald
Él es el gerente	Él es gerente
Su novio se llama Brown	Su novio se llama Brown
él es cantante	Él es cantante
Es arrestado por la policía	Fue arrestado por la policía
Ella tiene tres hermanos y dos hermanas	Ella tiene tres hermanos y dos hermanas
Bob Marley es su artista favorito	Bob Marley es su artista favorito
ella tiene el pelo negro	Ella tiene el pelo negro
Su peluquería hace que su pelo se vuelva rojo, marrón, rubio	Su peluquería hace que su pelo se vuelva rojo, marrón, y rubio
Ella es muy moderna	Ella es muy moderna
Ella es joven y bonita	Ella es joven y bonita
Ella es bajita y delgada	Ella es bajita y delgada
Pero ella es sexy	Pero ella es sexy
Se viste muy bien	Se viste muy bien
Ella tiene muchos tatuajes en su cuerpo	Ella tiene muchos tatuajes en su cuerpo
Ella tiene 21 tatuajes	Ella tiene 21 tatuajes
Hay una en su oído	Hay uno en su oído
Hay una en la mano	Hay uno en la mano
Hay uno en su hombro	Hay uno en su hombro
Hay uno en su pecho	Hay uno en su pecho
Drake es un cantante	Drake es un cantante
Él es su amigo	Él es su amigo
Tiene el mismo tatuaje en el brazo	Tiene el mismo tatuaje en el brazo
A ella le gusta escuchar música	A ella le gusta escuchar música
A ella le gusta cantar canciones	A ella le gusta cantar canciones
A ella le gusta bailar	A ella le gusta bailar
A ella le gusta tocar instrumentos musicales	A ella le gusta tocar instrumentos musicales
A ella le gusta toca el piano y el violín	A ella le gusta tocar el piano y el violín
A ella le gusta escribir canciones	A ella le gusta escribir canciones
Ella es extrovertida, trabajadora y talentosa	Ella es extrovertida, trabajadora y talentosa
Ella gana muchos premios	Ella gana muchos premios
Ella hace negocios	Ella hace negocios
Ella produce fragancia	Ella produce fragancia
Ella es rica y generosa	Ella es rica y generosa
Realiza un concierto gratis	Realizó un concierto gratis
Ella donó el dinero a los niños	Ella donó el dinero a los niños
Ella vive en Nueva York	Ella vive en Nueva York
Ella tiene una casa grande allí.	Ella tiene una casa grande allí.
Steve McQueen nació el 24 de marzo de 1930 en Beech Grove, Indiana, pero pasó la mayor parte de su vida con su tío en su granja en Slater, Missouri, escuchando y viendo a su madre de vez en cuando	Steve McQueen nació el 24 de marzo de 1930 en Beech Grove, Indiana, pero pasó la mayor parte de su vida con su tío en su granja en Slater, Missouri, escuchando y viendo a su madre de vez en cuando
Cuando McQueen tenía 12 años, se reunió con su madre	Cuando McQueen tenía 12 años, se reunió con su madre
Finalmente se mudaron a Los Ángeles, California, donde se involucró con algunas pandillas locales y casi fue arrestado unas cuantas veces por robar tapacubos	Finalmente se mudaron a Los Ángeles, California, donde se involucró con algunas pandillas locales y casi fue arrestado unas cuantas veces por robar tapacubos
Su madre, temiendo que Steve se convirtiera en un criminal, lo envió a una escuela de reforma para niños jóvenes, donde aprendió a establecerse y madurar	Su madre, temiendo que Steve se convirtiera en un criminal, lo envió a una escuela de reforma para niños jóvenes, donde aprendió a establecerse y madurarse
En 1947, McQueen se alistó en el Cuerpo de Marines de estados unidos y se convirtió en un conductor del tanque	En 1947, McQueen se alistó en el Cuerpo de Marines de Estados Unidos y se convirtió en un conductor de tanque
Después de ser dado de alta de los Marines en 1950, McQueen pasó algún tiempo en Myrtle Beach, Carolina del Sur, y Washington, D.C., antes de regresar a Nueva York para comenzar su carrera como actor	Después de ser dado de alta de los Marines en 1950, McQueen pasó algún tiempo en Myrtle Beach, Carolina del Sur, y Washington, D.C., antes de regresar a Nueva York para comenzar su carrera como actor
A lo largo de la década de 1960, protagonizó varias películas exitosas, entre ellas The Magnificent Seven y The Great Escape, a pesar de que mientras más partes llegaban a su camino, McQueen no experimentó su primer gran avance profesional hasta 1958	A lo largo de la década de 1960, protagonizó varias películas exitosas, entre ellas The Magnificent Seven y The Great Escape, a pesar de que mientras más partes llegaban a su camino, McQueen no experimentó su primer gran avance profesional hasta 1958
Steve McQueen recibió su única nominación al Premio de la Academia Por su trabajo en la película de 1966, The Sand Pebbles, un drama militar donde interpretó a un ingeniero Naval estacionado en una cañonera en China durante la década de 1920	Steve McQueen recibió su única nominación al Premio de la Academia por su trabajo en la película de 1966, The Sand Pebbles, un drama militar donde interpretó a un ingeniero naval estacionado en una cañonera en China durante la década de 1920
McQueen pasó los últimos meses de su vida en una clínica en México, buscando terapias alternativas para su cáncer	McQueen pasó los últimos meses de su vida en una clínica en México, buscando terapias alternativas para su cáncer
